Start Time,End Time,mean_nni,sdnn,sdsd,nni_50,pnni_50,nni_20,pnni_20,rmssd,median_nni,range_nni,cvsd,cvnni,mean_hr,max_hr,min_hr,std_hr,lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,sd1,sd2,ratio_sd2_sd1
0,3,976.8478261,67.15619747,44.96758133,48,26.08695652,125,67.93478261,44.96811256,980,355,0.046033897,0.06874786,61.73087807,78.94736842,53.81165919,4.534535408,728.4038571,1133.139951,0.642818971,39.12902045,60.87097955,2680.025617,818.4818097,31.8841161,89.46123662,2.805824579
0.25,3.25,979.2934783,66.58156394,45.6310493,49,26.63043478,128,69.56521739,45.63157281,980,355,0.046596423,0.067989388,61.57200767,78.94736842,53.81165919,4.504036976,788.3135007,1180.273205,0.667907648,40.0446421,59.9553579,2841.085806,872.4991,32.35454589,88.4273299,2.733072818
0.5,3.5,983.1967213,63.93269633,46.15175296,52,28.41530055,129,70.49180328,46.15728009,985,355,0.046946129,0.065025335,61.3026725,78.94736842,53.81165919,4.305811088,582.3427815,1172.199941,0.496794754,33.19057291,66.80942709,2156.246622,401.7038997,32.72424308,84.28465598,2.575602918
0.75,3.75,995.1388889,46.7921547,47.37336288,53,29.44444444,131,72.77777778,47.3737664,990,205,0.04760518,0.047020728,60.42401646,65.93406593,53.81165919,2.796081549,301.4612025,1117.883797,0.269671323,21.23945923,78.76054077,1524.676679,105.3316797,33.59198993,57.013943,1.697248157
1,4,992.5549451,45.63771282,46.45176915,50,27.47252747,132,72.52747253,46.46183011,987.5,200,0.046810336,0.045980037,60.57571973,65.93406593,54.05405405,2.744356725,262.742267,968.3559386,0.271328193,21.34210462,78.65789538,1336.736511,105.6383052,32.93747448,55.50427405,1.685140556
1.25,4.25,990.4395604,42.90004026,45.1376989,48,26.37362637,133,73.07692308,45.13791022,987.5,200,0.045573614,0.043314142,60.6910198,65.93406593,54.05405405,2.592933899,332.3382795,1013.975014,0.327757859,24.68506263,75.31493737,1449.234861,102.9215678,32.00570899,51.54087213,1.610364955
1.5,4.5,991.4285714,44.13556285,45.86803419,51,28.02197802,134,73.62637363,45.86943999,990,210,0.046266006,0.044517138,60.63663626,65.93406593,53.57142857,2.659615568,314.0649961,984.6608498,0.318957534,24.18254762,75.81745238,1401.295662,102.5698163,32.52356656,53.27394706,1.638010609
1.75,4.75,991.1263736,43.26100239,45.3860762,48,26.37362637,136,74.72527473,45.38661423,990,210,0.045792964,0.043648321,60.65059822,65.93406593,53.57142857,2.609290065,242.274124,808.2997802,0.299733007,23.06112145,76.93887855,1145.782726,95.20882139,32.18182545,52.03228581,1.616822075
2,5,989.8351648,41.09314678,43.92473674,46,25.27472527,137,75.27472527,43.92516237,990,210,0.04437624,0.041515141,60.71942316,65.93406593,53.57142857,2.497682105,252.5262951,766.4383668,0.329480237,24.78263521,75.21736479,1131.216131,112.251469,31.14563604,49.06366049,1.575298074
2.25,5.25,989.3131868,40.82973326,44.03753349,49,26.92307692,136,74.72527473,44.04135425,990,210,0.0445171,0.041270786,60.75035831,65.93406593,53.57142857,2.486984216,274.61184,767.7924825,0.357664143,26.34408109,73.65591891,1155.426559,113.0222361,31.22561664,48.57051679,1.55547022
2.5,5.5,992.2928177,40.48480378,43.38422937,45,24.86187845,131,72.37569061,43.3877863,995,210,0.043724781,0.040799251,60.56584281,65.93406593,53.57142857,2.456578088,328.4073278,703.3195081,0.466939028,31.83084091,68.16915909,1134.507772,102.7809357,30.76285417,48.28752921,1.569669997
2.75,5.75,993.8674033,40.54440759,43.07704661,44,24.30939227,127,70.16574586,43.08099607,995,210,0.043346825,0.040794584,60.46987046,65.93406593,53.57142857,2.452669021,364.9530797,682.5840152,0.53466397,34.83915572,65.16084428,1155.159465,107.6223698,30.54503727,48.52523748,1.588645548
