Start Time,End Time,mean_nni,sdnn,sdsd,nni_50,pnni_50,nni_20,pnni_20,rmssd,median_nni,range_nni,cvsd,cvnni,mean_hr,max_hr,min_hr,std_hr,lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,sd1,sd2,ratio_sd2_sd1
0,3,1019.602273,64.33715474,51.63518813,49,27.84090909,121,68.75,51.72730696,1025,650,0.050732828,0.063100247,59.21451643,130.4347826,54.05405405,6.213706004,509.5788819,578.5584789,0.880773337,46.83038192,53.16961808,1260.96769,172.8303289,36.61635973,83.29334404,2.27475764
0.25,3.25,1026.028571,43.67558414,45.05970702,46,26.28571429,121,69.14285714,45.06062328,1025,205,0.043917513,0.04256761,58.58374324,64.17112299,52.63157895,2.496585286,470.5263937,550.9914065,0.853963217,46.06149728,53.93850272,1152.399439,130.8816387,31.95397848,52.85883616,1.654217681
0.5,3.5,1029.798851,44.09448341,44.66579503,45,25.86206897,120,68.96551724,44.66639347,1030,205,0.043373901,0.04281854,58.37042207,64.17112299,52.63157895,2.500288291,580.7654219,583.5171685,0.995284206,49.88182652,50.11817348,1342.095276,177.8126857,31.67516595,53.71527526,1.695816696
0.75,3.75,1028.514286,44.1238926,44.85761041,44,25.14285714,116,66.28571429,44.85769325,1025,205,0.043614069,0.042900612,58.44354181,64.17112299,52.63157895,2.503648062,516.3515448,632.3800977,0.816520866,44.94971024,55.05028976,1308.862453,160.1308105,31.81066218,53.68349438,1.687594369
1,4,1026.514286,45.56312498,44.8079551,42,24,115,65.71428571,44.81282914,1025,205,0.043655339,0.044386255,58.56499115,64.17112299,52.63157895,2.59612343,532.9167442,649.4562893,0.820558293,45.07179453,54.92820547,1413.476457,231.103424,31.77544924,56.05637824,1.764141172
1.25,4.25,1028.685714,46.0975798,45.33051214,44,25.14285714,114,65.14285714,45.33084003,1030,205,0.044066754,0.044812112,58.44389024,64.17112299,52.63157895,2.62251908,585.2496711,598.5191822,0.977829431,49.43952271,50.56047729,1430.631523,246.86267,32.14601925,56.7151406,1.764297475
1.5,4.5,1027.171429,46.30762065,46.07188487,44,25.14285714,119,68,46.072781,1025,205,0.044854033,0.04508266,58.53115206,64.17112299,52.63157895,2.63515566,684.7607482,570.7478124,1.199760618,54.5405081,45.4594919,1601.154613,345.6460528,32.67176187,56.75691533,1.737185633
1.75,4.75,1028.6,46.59880123,46.54857553,44,25.14285714,121,69.14285714,46.54901014,1030,205,0.045254725,0.045303132,58.45112104,64.17112299,52.63157895,2.6466527,634.3169882,588.8221752,1.077264096,51.85975621,48.14024379,1578.756845,355.6176818,33.00980585,57.03726211,1.727888445
2,5,1028.885714,46.59113639,46.8507848,44,25.14285714,120,68.57142857,46.85205377,1030,205,0.045536694,0.045283102,58.43462245,64.17112299,52.63157895,2.641118321,627.4664391,573.0817242,1.094898707,52.26499513,47.73500487,1557.167962,356.6197992,33.2241168,56.90014097,1.712615607
2.25,5.25,1027.371429,46.53146613,47.34670454,43,24.57142857,121,69.14285714,47.34775966,1025,205,0.046086311,0.045291766,58.52039466,64.17112299,52.63157895,2.636757192,586.1238812,530.8335782,1.104157509,52.47504068,47.52495932,1438.551864,321.5944051,33.57579705,56.59523419,1.685596149
2.5,5.5,1026.903409,45.76257722,46.22880099,43,24.43181818,120,68.18181818,46.23233253,1025,205,0.045021111,0.044563663,58.54328353,64.17112299,52.63157895,2.59586621,697.4811812,555.1720855,1.256333305,55.68030673,44.31969327,1539.425799,286.7725324,32.78249713,55.80084972,1.702153728
2.75,5.75,1028.6,45.35504889,46.76827205,43,24.57142857,118,67.42857143,46.7737892,1030,205,0.045473254,0.044093962,58.44433162,64.17112299,52.63157895,2.564679094,639.6798095,560.3549543,1.141561799,53.30510655,46.69489345,1483.276038,283.2412746,33.1656031,54.901764,1.655382652
3,6,1028.771429,44.99430725,47.71413928,44,25.14285714,119,68,47.71954707,1025,205,0.046384985,0.043735961,58.43267053,64.17112299,52.63157895,2.541002835,415.2899533,540.5919858,0.7682133,43.445737,56.554263,1182.327048,226.4451086,33.83636247,53.88947897,1.59264989
3.25,6.25,1026.136364,43.48219519,47.01268609,45,25.56818182,118,67.04545455,47.01519511,1022.5,190,0.045817687,0.042374675,58.57574127,64.17112299,53.33333333,2.463698771,488.8323598,504.4163671,0.969104874,49.21550328,50.78449672,1292.514741,299.2660139,33.33837811,51.67160867,1.549913691
3.5,6.5,1023.011364,42.00707269,47.4546916,47,26.70454545,122,69.31818182,47.45524207,1020,190,0.046387796,0.041062176,58.74827469,64.17112299,53.33333333,2.393602171,491.2405331,533.8976856,0.920102383,47.91944385,52.08055615,1320.241568,295.1033495,33.65182004,48.95654522,1.454796358
3.75,6.75,1023.267045,42.09828289,47.82251199,48,27.27272727,127,72.15909091,47.8225888,1020,190,0.046735199,0.041141052,58.73400644,64.17112299,53.33333333,2.398405969,508.6154263,553.9056982,0.918234689,47.86873546,52.13126454,1330.196331,267.6752061,33.91265464,48.93324739,1.442919993
4,7,1026.022727,40.58612776,48.60625642,50,28.40909091,132,75,48.60629001,1022.5,175,0.047373502,0.039556753,58.56889569,63.15789474,53.33333333,2.300695109,419.9766142,593.8252666,0.707239381,41.425906,58.574094,1196.196357,182.3944761,34.46843586,45.89547322,1.331521784
4.25,7.25,1028.4,42.78400711,47.78078106,49,28,130,74.28571429,47.78423729,1025,180,0.046464641,0.041602496,58.44281181,63.15789474,53.09734513,2.407444399,406.7706911,599.3920407,0.678638793,40.42792267,59.57207733,1178.102528,171.9397963,33.88362132,50.12826283,1.479424597
4.5,7.5,1027.642045,42.68130731,48.14685019,47,26.70454545,127,72.15909091,48.15302987,1025,180,0.046857785,0.041533244,58.48557933,63.15789474,53.09734513,2.405045879,433.1309921,618.7577294,0.70000094,41.17650311,58.82349689,1283.801137,231.9124157,34.14265446,49.77617033,1.45788812
