Start Time,End Time,mean_nni,sdnn,sdsd,nni_50,pnni_50,nni_20,pnni_20,rmssd,median_nni,range_nni,cvsd,cvnni,mean_hr,max_hr,min_hr,std_hr,lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,sd1,sd2,ratio_sd2_sd1
0,3,836.9069767,31.6499649,35.8926569,24,11.1627907,126,58.60465116,35.89314359,835,175,0.042887853,0.037817781,71.79699457,82.19178082,66.29834254,2.772998705,355.2359632,209.9275598,1.692183549,62.85543011,37.14456989,746.0951223,180.9315992,25.43944865,36.82763919,1.447658701
0.25,3.25,837.5813953,31.7107492,36.48386743,24,11.1627907,129,60,36.48389736,840,175,0.043558629,0.037859902,71.73957294,82.19178082,66.29834254,2.777908928,406.4780618,203.6946763,1.995526193,66.61688346,33.38311654,765.2013235,155.0285854,25.85847781,36.63990113,1.416939597
0.5,3.5,835.8101852,32.5528706,36.73598672,26,12.03703704,129,59.72222222,36.73601617,840,175,0.043952583,0.038947684,71.89765735,82.19178082,66.29834254,2.862166588,381.0332975,207.1258621,1.839622023,64.78404548,35.21595452,716.3679117,128.2087521,26.0368868,37.96655494,1.458183355
0.75,3.75,836.1111111,32.73454426,36.22255586,24,11.11111111,129,59.72222222,36.22282462,840,175,0.04332298,0.03915095,71.87300939,82.19178082,66.29834254,2.877745921,330.3452997,217.4402887,1.51924605,60.30558428,39.69441572,694.5990843,146.8134959,25.67298909,38.52269988,1.500514792
1,4,837.8738318,32.98225397,36.9906726,27,12.61682243,130,60.74766355,36.9906726,840,175,0.044148261,0.039364225,71.72330349,82.19178082,66.29834254,2.894563484,377.1469521,216.1623227,1.744739543,63.56667056,36.43332944,749.2659008,155.9566259,26.21797238,38.57818139,1.471440309
1.25,4.25,840.3504673,33.33911088,36.40930581,27,12.61682243,130,60.74766355,36.41022144,845,175,0.043327425,0.039672865,71.5139712,82.19178082,66.29834254,2.915529807,405.319971,213.9547157,1.894419432,65.45075711,34.54924289,814.1101352,194.8354486,25.80591557,39.4594393,1.529085034
1.5,4.5,840.0697674,32.80314789,35.69895435,26,12.09302326,127,59.06976744,35.698962,845,175,0.042495235,0.039048123,71.53439747,82.19178082,66.29834254,2.873878959,469.9699144,205.7293483,2.284408706,69.55311931,30.44688069,883.4709159,207.7716532,25.30215912,38.88307816,1.536749412
1.75,4.75,839.5348837,33.436611,36.04754796,28,13.02325581,127,59.06976744,36.04903203,840,175,0.04293929,0.039827542,71.58428588,82.19178082,66.29834254,2.928240474,473.6497758,187.8317352,2.52167066,71.6043862,28.3956138,833.2303501,171.748839,25.54922997,39.79008366,1.557388763
2,5,839.0232558,33.06358104,34.70811497,26,12.09302326,123,57.20930233,34.70839808,840,175,0.041367623,0.039407228,71.62534,82.19178082,66.29834254,2.895232361,434.3038195,183.7700312,2.36330057,70.26730204,29.73269796,806.9811882,188.9073375,24.59988713,39.76488822,1.616466287
2.25,5.25,837.0697674,32.64822085,34.45948029,25,11.62790698,120,55.81395349,34.46012188,840,175,0.041167562,0.039002987,71.78993634,82.19178082,66.29834254,2.866200945,341.6547433,180.8855773,1.888789302,65.38342207,34.61657793,628.5864521,106.0461314,24.42366365,39.18287003,1.604299445
2.5,5.5,840.3971963,29.0451517,34.13536216,25,11.68224299,118,55.14018692,34.13587872,845,155,0.040618744,0.034561219,71.48056157,80,66.29834254,2.489711389,263.3501009,167.2776623,1.574329155,61.15492854,38.84507146,531.4366256,100.8088624,24.19420679,33.19460848,1.37200648
2.75,5.75,837.9767442,29.59184054,33.09916529,23,10.69767442,115,53.48837209,33.10102068,840,155,0.039501121,0.035313439,71.69092038,80,66.29834254,2.554277023,246.8521888,172.5259415,1.430812008,58.86148346,41.13851654,525.9921521,106.6140218,23.45952037,34.65551843,1.477247526
3,6,836.4418605,28.90550373,32.45359904,22,10.23255814,114,53.02325581,32.4541373,840,155,0.038800231,0.034557696,71.81849959,80,66.29834254,2.499520513,251.2014185,166.407257,1.509558075,60.15234674,39.84765326,515.7942501,98.18557461,23.00196579,33.79298539,1.469134668
3.25,6.25,836.1860465,28.79776067,31.43193828,20,9.302325581,111,51.62790698,31.43194696,835,155,0.037589657,0.034439418,71.83985247,80,66.29834254,2.490935125,276.1498421,143.2028825,1.928381869,65.85144818,34.14855182,494.4323647,75.07964008,22.2778487,34.0928071,1.530345572
3.5,6.5,835.5116279,26.76426346,30.10463019,17,7.906976744,106,49.30232558,30.10495659,835,145,0.036031763,0.032033382,71.88590733,78.94736842,66.29834254,2.305950112,206.6889467,134.5869892,1.535727547,60.56358652,39.43641348,414.4984701,73.22253425,21.33709956,31.26307374,1.465197912
3.75,6.75,833.3101852,28.15721789,29.61894282,17,7.87037037,103,47.68518519,29.61968233,832.5,165,0.035544606,0.0337896,72.08468917,81.08108108,66.29834254,2.456167751,186.7252938,124.5429063,1.499284859,59.98855447,40.01144553,371.3255842,60.05738408,20.9926323,33.83736437,1.611868578
4,7,829.8387097,28.01862433,28.15286876,14,6.451612903,96,44.23963134,28.15302102,830,165,0.033925895,0.03376394,72.38574733,81.08108108,66.29834254,2.453458976,173.5554727,117.9346629,1.471623934,59.5407705,40.4592295,349.1141571,57.62402151,19.95332625,34.23377558,1.71569267
4.25,7.25,824.8165138,26.99143579,26.79667037,11,5.04587156,90,41.28440367,26.79715577,825,160,0.032488627,0.03272417,72.82126305,81.08108108,66.66666667,2.386051608,222.7261026,105.7684523,2.10578956,67.80206834,32.19793166,401.8558433,73.36128832,18.99191804,33.11166353,1.743460742
4.5,7.5,818.8812785,28.63491431,25.28130598,9,4.109589041,83,37.89954338,25.28280411,820,160,0.03087481,0.034968334,73.36021878,81.08108108,66.66666667,2.569066098,207.3857103,83.30739205,2.489403463,71.3418064,28.6581936,363.2213495,72.52824713,17.91772584,36.31627371,2.026834992
4.75,7.75,806.9282511,46.99450572,23.55385334,5,2.242152466,80,35.87443946,23.56704066,815,340,0.029205869,0.058238766,74.65481651,108.1081081,67.03910615,5.19836653,176.3504999,69.05190118,2.553883339,71.86176628,28.13823372,327.9045734,82.50217233,16.69272809,64.3297751,3.853760438
5,8,788.8596491,66.80288609,22.61745613,4,1.754385965,76,33.33333333,22.62264664,807.5,330,0.028677657,0.084682853,76.69605574,108.1081081,67.79661017,7.577574164,147.0004416,62.39819224,2.355844559,70.20124197,29.79875803,301.9154345,92.51680062,16.0283002,93.10394606,5.80872238
5.25,8.25,788.5087719,66.91290553,21.48604747,2,0.877192982,75,32.89473684,21.48660068,805,335,0.027249666,0.084860065,76.73127868,108.1081081,67.41573034,7.579791345,320.4648482,91.99519624,3.483495458,77.69597383,22.30402617,774.3839185,361.9238741,15.22650544,93.396078,6.133782854
5.5,8.5,790.1754386,68.76684359,21.54665811,2,0.877192982,75,32.89473684,21.54802034,805,355,0.027269919,0.087027311,76.59728403,108.1081081,65.93406593,7.705390367,547.0464832,75.48474974,7.247112629,87.87454416,12.12545584,1488.926984,866.3957515,15.26945835,96.04478745,6.289993084
5.75,8.75,792.6651982,70.15233283,21.10584683,2,0.881057269,69,30.39647577,21.10603235,810,355,0.026626667,0.088501845,76.38057042,108.1081081,65.93406593,7.825211119,420.4190045,72.50081114,5.798817942,85.29156085,14.70843915,1497.063469,1004.143653,14.95721529,98.07640549,6.557130028
6,9,793.1057269,70.48027285,20.98999105,2,0.881057269,66,29.07488987,20.99041079,810,355,0.026466094,0.088866176,76.34357676,108.1081081,65.93406593,7.850729571,282.0278592,72.09103839,3.912107045,79.64213746,20.35786254,1349.784136,995.6652384,14.87511103,98.55794637,6.625694838
6.25,9.25,794.3832599,71.10773816,19.89736469,2,0.881057269,58,25.55066079,19.89741389,810,355,0.025047625,0.089513138,76.23166577,108.1081081,65.93406593,7.903622134,338.0880743,86.3614112,3.914804883,79.65331231,20.34668769,1386.078927,961.6294411,14.10079253,99.56800944,7.061164059
6.5,9.5,793.2819383,70.77767935,20.14877073,3,1.321585903,58,25.55066079,20.14878287,810,355,0.025399271,0.089221342,76.33124266,108.1081081,65.93406593,7.87088644,468.7107233,93.13564773,5.032559871,83.42328926,16.57671074,1488.8022,926.955829,14.27895805,99.0710409,6.938254215
6.75,9.75,795.3761062,71.29767118,20.06809396,4,1.769911504,54,23.89380531,20.0693243,810,355,0.025232496,0.089640197,76.14066285,108.1081081,65.93406593,7.928408471,510.606003,87.17189687,5.857461193,85.41734365,14.58265635,1573.736387,975.958487,14.22192479,99.8221052,7.018888557
7,10,794.2951542,71.34763841,20.7904223,5,2.202643172,58,25.55066079,20.7918466,810,355,0.026176474,0.089825096,76.24389496,108.1081081,65.93406593,7.91991136,442.0479104,81.98403884,5.391877695,84.35514496,15.64485504,1559.815392,1035.783442,14.73368137,99.81928495,6.774904549
7.25,10.25,794.2070485,71.569626,22.54386784,7,3.083700441,65,28.63436123,22.54543103,810,355,0.028387347,0.090114569,76.25601192,108.1081081,65.93406593,7.936482536,309.5101181,80.99998772,3.821113148,79.25790229,20.74209771,1432.137185,1041.62708,15.97630682,99.94588712,6.255881804
7.5,10.5,791.1184211,73.02170043,22.61839995,7,3.070175439,65,28.50877193,22.6202124,810,355,0.028592701,0.092301858,76.57884513,108.1081081,65.93406593,8.053007415,261.8446151,94.90699053,2.758960258,73.39689884,26.60310116,1321.547333,964.7957272,16.02896905,102.0167125,6.364521145
7.75,10.75,793.9159292,67.36169049,20.6608833,5,2.212389381,57,25.22123894,20.66666667,810,295,0.026031304,0.084847385,76.17898833,97.56097561,65.93406593,7.176941073,290.541743,75.17326873,3.864960882,79.44485014,20.55514986,1023.966983,658.2519712,14.64202475,94.13185328,6.428882266
8,11,804.7757848,48.38559411,20.42067573,5,2.242152466,53,23.76681614,20.42068815,815,205,0.025374382,0.060123074,74.82956477,85.10638298,65.93406593,4.586496442,184.3173899,64.68531244,2.849447317,74.02224481,25.97775519,469.4907089,220.4880065,14.47223019,66.87963807,4.621239243
8.25,11.25,798.5555556,48.4793566,19.16463314,5,2.222222222,45,20,19.16796062,805,205,0.02400329,0.060708809,75.41394026,85.10638298,65.93406593,4.601632561,164.824001,50.79651381,3.244789624,76.44170646,23.55829354,368.7889672,153.1684525,13.58179246,67.20142071,4.947905138
8.5,11.5,790.1315789,43.87085837,18.79248375,5,2.192982456,42,18.42105263,18.79931108,785,165,0.023792634,0.055523484,76.17043807,85.10638298,68.96551724,4.224067917,149.6863993,47.53697563,3.148841451,75.89688563,24.10311437,350.0292439,152.8058689,13.31765912,60.59657073,4.550091738
8.75,11.75,784.1266376,40.74015474,19.41763062,6,2.620087336,45,19.65065502,19.41863366,775,165,0.024764665,0.051956091,76.72286479,85.10638298,68.96551724,3.952108577,125.8086885,40.06148037,3.140390402,75.84768819,24.15231181,315.6105311,149.7403623,13.76054809,55.94790195,4.065819296
9,12,779.2424242,37.39869936,18.58760487,6,2.597402597,39,16.88311688,18.59172326,775,165,0.023858715,0.047993664,77.17229063,85.10638298,68.96551724,3.647747682,143.8688367,42.1400757,3.414062133,77.34513086,22.65486914,339.2652131,153.2563007,13.17208762,51.22325191,3.888772486
9.25,12.25,775.8405172,32.94105316,18.26329405,6,2.586206897,36,15.51724138,18.26334535,775,145,0.023540077,0.042458537,77.47373625,85.10638298,70.58823529,3.267597345,157.108529,39.05628783,4.022618066,80.09006485,19.90993515,326.556899,130.3920821,12.94214275,44.75183692,3.457838303
9.5,12.5,776.5301724,33.54468421,17.30421676,5,2.155172414,31,13.36206897,17.30488008,775,145,0.022284878,0.043198172,77.4098999,85.10638298,70.58823529,3.32403517,147.4168808,31.76119337,4.641415048,82.27395092,17.72604908,289.5406057,110.3625315,12.26250001,45.82709648,3.737174022
9.75,12.75,774.0772532,30.27009232,17.12004722,4,1.716738197,33,14.16309013,17.12026426,775,145,0.022116997,0.039104743,77.63011706,85.10638298,70.58823529,3.039638403,121.1106257,24.72667236,4.897975107,83.04502847,16.95497153,245.8292962,99.99199812,12.131876,41.05331366,3.383921305
