Start Time,End Time,mean_nni,sdnn,sdsd,nni_50,pnni_50,nni_20,pnni_20,rmssd,median_nni,range_nni,cvsd,cvnni,mean_hr,max_hr,min_hr,std_hr,lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,sd1,sd2,ratio_sd2_sd1,
0,3,1019.6022727272727,64.33715474373638,51.635188128457756,49,27.84090909090909,121,68.75,51.727306963675254,1025.0,650.0,0.05073282822851404,0.06310024650263361,59.21451642623076,130.43478260869566,54.054054054054056,6.2137060035330425,509.57888191658634,578.5584789181873,0.8807733366373233,46.83038192215536,53.16961807784464,1260.9676897318955,172.83032889712163,36.61635972719834,83.29334404000939,2.2747576400430582,
0.25,3.25,1026.0285714285715,43.67558414316064,45.05970701701512,46,26.285714285714285,121,69.14285714285714,45.06062327703582,1025.0,205.0,0.043917513149070025,0.04256761006406456,58.58374323813836,64.1711229946524,52.63157894736842,2.4965852858041617,470.5263937478187,550.991406455348,0.8539632165496392,46.061497279267876,53.93850272073213,1152.399438943432,130.88163874026503,31.9539784755501,52.858836158930814,1.6542176805738373,
0.5,3.5,1029.7988505747126,44.09448340642259,44.665795026477724,45,25.862068965517242,120,68.96551724137932,44.666393465359526,1030.0,205.0,0.0433739010685747,0.04281854012734063,58.37042206969523,64.1711229946524,52.63157894736842,2.500288290785895,580.7654219131182,583.517168466942,0.995284206356681,49.8818265180395,50.11817348196048,1342.0952761102576,177.81268573019724,31.67516594939581,53.71527525608326,1.6958166957009377,
0.75,3.75,1028.5142857142857,44.123892600197465,44.857610413943675,44,25.142857142857142,116,66.28571428571429,44.8576932496329,1025.0,205.0,0.043614069218766364,0.042900612284207766,58.443541811720664,64.1711229946524,52.63157894736842,2.5036480615132017,516.3515447778591,632.3800977153478,0.8165208656049191,44.949710243653584,55.050289756346416,1308.8624530283048,160.13081053509785,31.81066217520025,53.6834943754857,1.6875943694544535,
1.0,4.0,1026.5142857142857,45.56312498022799,44.807955103237596,42,24.0,115,65.71428571428571,44.812829136000936,1025.0,205.0,0.04365533900467693,0.04438625512992595,58.564991153567284,64.1711229946524,52.63157894736842,2.5961234302357954,532.9167441898933,649.4562892772959,0.8205582931268771,45.07179452724568,54.928205472754335,1413.4764574576352,231.10342399044583,31.775449235868454,56.05637824357277,1.7641411716154671,
1.25,4.25,1028.6857142857143,46.097579803184914,45.3305121408882,44,25.142857142857142,114,65.14285714285714,45.33084002609333,1030.0,205.0,0.044066753719399686,0.044812112351724026,58.44389024324087,64.1711229946524,52.63157894736842,2.6225190800367244,585.2496710763555,598.5191821599723,0.9778294305694114,49.43952271394289,50.560477286057115,1430.6315232356756,246.8626699993479,32.14601925149304,56.71514060376332,1.7642974752193976,
1.5,4.5,1027.1714285714286,46.30762065476994,46.07188487320207,44,25.142857142857142,119,68.0,46.072781003812736,1025.0,205.0,0.0448540328539803,0.045082660368750464,58.53115205671339,64.1711229946524,52.63157894736842,2.635155660439161,684.7607481760074,570.7478123925571,1.1997606181012095,54.540508100232266,45.45949189976774,1601.1546133565869,345.6460527880224,32.67176186943265,56.75691532984538,1.7371856331674154,
1.75,4.75,1028.6,46.5988012277362,46.54857552854108,44,25.142857142857142,121,69.14285714285714,46.54901013799957,1030.0,205.0,0.04525472500291618,0.04530313166219736,58.45112104231534,64.1711229946524,52.63157894736842,2.64665270041713,634.316988177473,588.822175160483,1.0772640959124722,51.859756206842164,48.14024379315783,1578.7568451744592,355.61768183650327,33.00980585481513,57.03726211128609,1.7278884450926295,
2.0,5.0,1028.8857142857144,46.591136390388506,46.850784800945725,44,25.142857142857142,120,68.57142857142857,46.85205377065915,1030.0,205.0,0.04553669384279998,0.045283101654038975,58.43462245419977,64.1711229946524,52.63157894736842,2.6411183214256164,627.4664390700012,573.0817241850482,1.0948987074440228,52.26499513095333,47.73500486904666,1557.1679624232165,356.61979916816705,33.22411680410477,56.90014097419066,1.712615607201356,
2.25,5.25,1027.3714285714286,46.531466126713426,47.34670453900871,43,24.571428571428573,121,69.14285714285714,47.34775966006825,1025.0,205.0,0.046086311477345474,0.045291765794398184,58.520394657047675,64.1711229946524,52.63157894736842,2.636757191732604,586.1238811915779,530.8335782221866,1.1041575085633504,52.47504067873858,47.52495932126142,1438.5518644987924,321.59440508502803,33.575797045382885,56.595234186017954,1.6855961486043276,
2.5,5.5,1026.903409090909,45.76257722228911,46.22880098830518,43,24.431818181818183,120,68.18181818181819,46.232332532855956,1025.0,205.0,0.0450211111615495,0.04456366277214089,58.54328352963444,64.1711229946524,52.63157894736842,2.5958662100632237,697.4811811514761,555.1720854694926,1.256333305305934,55.680306732678794,44.319693267321206,1539.4257990088395,286.7725323878709,32.78249713225947,55.80084972314801,1.7021537284979256,
2.75,5.75,1028.6,45.35504888951301,46.768272054606726,43,24.571428571428573,118,67.42857142857143,46.77378920209308,1030.0,205.0,0.045473254133864556,0.04409396158809353,58.444331618855024,64.1711229946524,52.63157894736842,2.5646790938994637,639.6798094562297,560.3549543120907,1.1415617985237958,53.305106549373825,46.69489345062618,1483.276038365953,283.2412745976324,33.165603096514985,54.90176400430742,1.6553826518558454,
3.0,6.0,1028.7714285714285,44.99430724801822,47.71413927826491,44,25.142857142857142,119,68.0,47.71954706840576,1025.0,205.0,0.046384984791685,0.04373596116534668,58.432670533208395,64.1711229946524,52.63157894736842,2.5410028348842997,415.2899533496721,540.5919857783795,0.7682133000024235,43.44573700477033,56.55426299522968,1182.3270477563901,226.44510862833863,33.83636247127277,53.88947897475696,1.5926498902034574,
