Start Time,End Time,mean_nni,sdnn,sdsd,nni_50,pnni_50,nni_20,pnni_20,rmssd,median_nni,range_nni,cvsd,cvnni,mean_hr,max_hr,min_hr,std_hr,lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,sd1,sd2,ratio_sd2_sd1
0,3,865.1682692,31.20905902,21.68829268,3,1.442307692,61,29.32692308,21.68895175,865,160,0.025069056,0.03607282,69.44090711,76.43312102,63.49206349,2.510536459,655.6932826,102.1275791,6.420335118,86.52351971,13.47648029,940.8853187,183.064457,15.37311691,41.37243051,2.691219403
0.25,3.25,865.3605769,31.16094706,21.15332562,2,0.961538462,60,28.84615385,21.15333941,865,160,0.024444538,0.036009206,69.42511808,76.43312102,63.49206349,2.504460909,628.6163403,93.34772331,6.734136816,87.07030889,12.92969111,902.587038,180.6229744,14.99392104,41.43901031,2.763720725
0.5,3.5,863.9903846,32.01660052,21.24684144,2,0.961538462,61,29.32692308,21.24733572,865,160,0.024592097,0.037056663,69.54058045,76.43312102,63.49206349,2.582795216,554.3082151,94.47664976,5.867145125,85.43790787,14.56209213,804.2929265,155.5080617,15.06020702,42.70029956,2.835306282
0.75,3.75,865.3125,30.96317647,21.08757905,2,0.961538462,58,27.88461538,21.08757905,865,160,0.0243699,0.035782652,69.42775734,76.43312102,63.49206349,2.486310235,534.5336894,100.3011638,5.329287012,84.20043209,15.79956791,846.8311617,211.9963086,14.94731849,41.15840454,2.753564431
1,4,864.2307692,32.10993518,21.08179572,2,0.961538462,59,28.36538462,21.08185107,865,160,0.024393775,0.037154353,69.52203268,76.43312102,63.49206349,2.597196134,598.7593743,112.4298627,5.325625773,84.19128738,15.80871262,931.0740506,219.8848135,14.94321914,42.88118558,2.869608293
1.25,4.25,864.2583732,32.97799732,21.34117232,2,0.956937799,61,29.18660287,21.34312175,865,160,0.024695302,0.038157568,69.52499049,76.43312102,63.49206349,2.66498626,623.8454714,95.85504017,6.508217724,86.68125996,13.31874004,922.0173426,202.3168311,15.1268942,44.11659195,2.916434224
1.5,4.5,864.4976077,33.34855613,21.30881827,2,0.956937799,60,28.70813397,21.30930638,865,160,0.024649353,0.038575649,69.50788734,76.43312102,63.49206349,2.69100424,568.9175453,87.92507217,6.470481414,86.61398182,13.38601818,877.8037368,220.9611194,15.10396124,44.67798952,2.958031261
1.75,4.75,863.8221154,34.09537761,20.51994565,1,0.480769231,56,26.92307692,20.52746481,865,165,0.023763532,0.039470369,69.56652069,76.43312102,63.15789474,2.740800697,635.1923272,83.44608151,7.612009044,88.3883076,11.6116924,945.6346689,226.9962602,14.54496803,45.97209429,3.160687201
2,5,865.0961538,34.3362231,21.28703274,2,0.961538462,58,27.88461538,21.28708756,865,165,0.024606614,0.039690644,69.46521838,76.43312102,63.15789474,2.75077635,616.4887481,90.41998271,6.818058681,87.20910087,12.79089913,1006.807953,299.8992221,15.08869545,46.15499652,3.058912328
2.25,5.25,864.7115385,33.96024191,21.26490263,2,0.961538462,59,28.36538462,21.26722093,865,165,0.024594584,0.039273492,69.49381002,76.43312102,63.15789474,2.722399264,708.1938936,100.2885169,7.061565125,87.59546088,12.40453912,1188.41574,379.9333297,15.07300916,45.60044359,3.025304575
2.5,5.5,865.6009615,33.49957674,20.82954877,2,0.961538462,56,26.92307692,20.83695621,865,165,0.024072242,0.038700947,69.41950033,76.43312102,63.15789474,2.684470436,596.2679036,95.77069446,6.225995404,86.16107617,13.83892383,1018.59556,326.556962,14.76442121,45.01616542,3.048962419
