Start Time,End Time,mean_nni,sdnn,sdsd,nni_50,pnni_50,nni_20,pnni_20,rmssd,median_nni,range_nni,cvsd,cvnni,mean_hr,max_hr,min_hr,std_hr,lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,sd1,sd2,ratio_sd2_sd1,
0,3.0,829.4212962962963,41.78865218375744,34.291594695184095,31,14.351851851851851,113,52.31481481481482,34.29692507743867,825.0,230.0,0.04135042737700178,0.050382902356571724,72.52377076445173,84.50704225352112,63.829787234042556,3.674146262879178,497.7258803189255,305.6096151078315,1.62863292158955,61.95741171059769,38.04258828940231,1241.9061797244053,438.5706842976484,24.304406899578392,53.869088612392886,2.2164329635761386,
0.25,3.25,829.815668202765,38.9469384243504,32.60389344013102,26,11.981566820276498,107,49.30875576036866,32.60488772720593,825.0,205.0,0.0392917234231337,0.04693444570491496,72.46342436954801,81.63265306122449,63.829787234042556,3.3868751668258574,393.57078850516774,290.79159238018974,1.3534462440392752,57.5091208251404,42.49087917485961,1135.4083231973636,451.0459423120061,23.107986909310412,49.997489599573115,2.1636454008647843,
0.5,3.5,827.2811059907834,36.24095369464009,30.138568866708543,21,9.67741935483871,100,46.08294930875576,30.138568866708543,825.0,205.0,0.03643086811539524,0.043807302538641374,72.66460117177395,81.63265306122449,63.829787234042556,3.161915833168628,385.8017795684578,266.9293716516488,1.445332812875839,59.10577101266033,40.89422898733968,1071.4418796500122,418.7107284299057,21.360689824241206,46.58899418990125,2.181062249077259,
0.75,3.75,827.3394495412844,36.145308427990834,29.490603293990183,19,8.715596330275229,100,45.87155963302752,29.490684305887054,825.0,205.0,0.03564520502707573,0.04368860743680418,72.65866212020411,81.63265306122449,63.829787234042556,3.151630059539529,407.6102477012055,218.8949204472495,1.8621274850433711,65.0609553478766,34.93904465212341,1034.1116018278838,407.60643367942873,20.901220676609203,46.64874721722819,2.2318671210162067,
1.0,4.0,825.6422018348624,36.12638412784517,28.602220660188824,17,7.798165137614679,96,44.03669724770642,28.60222994110226,825.0,205.0,0.03464240306217175,0.04375549608239484,72.80810006902827,81.63265306122449,63.829787234042556,3.154953826607832,390.4988131678457,188.9737441091178,2.066418353559014,67.38866375361478,32.61133624638523,990.926733861055,411.45417658409156,20.271586847513085,46.89663129681045,2.3134168849028076,
1.25,4.25,825.2764976958525,45.900627877284315,30.842473064246857,17,7.8341013824884795,94,43.31797235023041,30.848344694170713,820.0,340.0,0.03737940530270567,0.0556184842358137,72.90980176801914,81.63265306122449,55.81395348837209,3.7570206685152163,366.9751164009543,176.3865808911882,2.0805160718396087,67.5379067442156,32.462093255784396,1001.8835847498722,458.5218874577297,21.859581437047886,61.12195987085927,2.7961175764906927,
1.5,4.5,830.0,56.01132491307913,34.89622297245769,23,10.599078341013826,96,44.23963133640553,34.898994467101986,820.0,355.0,0.042046981285665044,0.0674835239916616,72.58572999763155,81.63265306122449,55.04587155963303,4.438173999815117,439.98559840368114,191.5583149927794,2.296875488909296,69.66825094353716,30.331749056462836,1201.1081333017005,569.56421990524,24.732673878739355,75.25178987801527,3.042606320972964,
1.75,4.75,831.5437788018434,55.90202383624301,35.07240086548305,24,11.059907834101383,97,44.70046082949309,35.072675868724254,825.0,355.0,0.04217778638096463,0.06722679582401692,72.45009110956367,81.63265306122449,55.04587155963303,4.434266729495242,1191.752673547163,266.6555575385302,4.469258711680748,81.71598652182442,18.284013478175577,2795.7450900409776,1337.3368589552847,24.85753983848171,75.04781976282894,3.019116946024085,
2.0,5.0,837.4186046511628,57.477843174460084,36.09425167433832,26,12.093023255813954,100,46.51162790697674,36.094372668294945,825.0,355.0,0.04310194742249667,0.06863693122557649,71.95855212668435,81.63265306122449,55.04587155963303,4.557115969871163,1255.4303688127331,238.67874216181792,5.259916980631582,84.02534725150448,15.974652748495508,2953.7797123317673,1459.6706013572161,25.58233191481605,77.15535759605964,3.015962651605462,
2.25,5.25,836.5581395348837,57.22978046632216,36.13727726469596,26,12.093023255813954,100,46.51162790697674,36.14127265032385,825.0,355.0,0.04320234415556337,0.06841100189180065,72.0300298337988,81.63265306122449,55.04587155963303,4.539799784376081,983.536876327565,256.869729219153,3.828932585078731,79.29148973646946,20.708510263530552,2401.484112457714,1161.0775069109964,25.61282693500074,76.77550807936447,2.997541359811724,
2.5,5.5,842.4532710280374,53.667688704157804,36.259985221262276,26,12.149532710280374,100,46.728971962616825,36.26001561492171,830.0,355.0,0.04304098145488114,0.06370405404049016,71.4828105034692,81.63265306122449,55.04587155963303,4.1531971411110975,868.5693072601385,305.28889040489355,2.8450734191741684,73.99269426135491,26.007305738645076,2475.3470077212946,1301.4888100562625,25.700081240072013,71.41391633250814,2.7787428244062635,
2.75,5.75,841.2850467289719,54.2110123485714,36.23877943407902,25,11.682242990654206,101,47.19626168224299,36.23896950519043,830.0,355.0,0.04307573235265783,0.06443834055930392,71.58806187948265,81.63265306122449,55.04587155963303,4.205145173266437,994.3112076571828,326.121288939506,3.0489000300793703,75.30193404206138,24.698065957938635,2730.1011828170267,1409.6686862203378,25.685051160769895,72.23535053270355,2.8123498793349624,
3.0,6.0,840.3953488372093,54.91035154902541,36.0234384375798,24,11.162790697674419,97,45.116279069767444,36.0247189278664,825.0,355.0,0.0428663949386572,0.06533871424324356,71.67162560533602,81.63265306122449,55.04587155963303,4.271241621940269,1177.4166802486,328.3603454861387,3.585745649357964,78.19329556274,21.806704437259985,2895.836951760999,1390.0599260262607,25.53214199141595,73.33759704138994,2.872363668745319,
